query_id,d1,d2,gap,relative_gap,num_inliers,num_matches,inlier_ratio,clustered_score,top1_correct
080,1.3971483707427979,1.462293028831482,0.06514465808868408,0.046626871886233344,51,96,0.53125,7.14142842854285,1
081,1.4890143871307373,1.503727912902832,0.014713525772094727,0.00988138590148012,27,113,0.23893805309734514,6.464101615137754,1
082,1.4857475757598877,1.4889581203460693,0.0032105445861816406,0.0021608950528084173,65,154,0.42207792207792205,11.313708498984761,1
083,1.5725609064102173,1.5879265069961548,0.0153656005859375,0.00977106865832848,14,39,0.358974358974359,3.605551275463989,1
084,1.4708898067474365,1.5074909925460815,0.03660118579864502,0.024883703477135956,40,144,0.2777777777777778,6.244997998398398,1
085,1.6428782939910889,1.688130259513855,0.04525196552276611,0.0275443200438386,34,102,0.3333333333333333,5.830951894845301,1
086,1.4442617893218994,1.4503967761993408,0.006134986877441406,0.004247835761355887,25,107,0.2336448598130841,4.898979485566356,1
087,1.6279840469360352,1.653043508529663,0.02505946159362793,0.015392940514860301,81,170,0.4764705882352941,9.0,1
088,1.4460549354553223,1.5020229816436768,0.05596804618835449,0.03870395571848155,78,267,0.29213483146067415,11.81023727940119,1
089,1.4857378005981445,1.5116300582885742,0.025892257690429688,0.017427205311735153,69,206,0.33495145631067963,10.323497616794988,1
090,1.5321491956710815,1.707463264465332,0.1753140687942505,0.1144236274702105,53,189,0.2804232804232804,7.0,1
091,1.5234462022781372,1.5645358562469482,0.041089653968811035,0.026971516229037967,89,183,0.48633879781420764,9.38083151964686,1
092,1.5215389728546143,1.693574070930481,0.1720350980758667,0.11306650775635765,105,274,0.38321167883211676,10.246950765959598,1
093,1.4615085124969482,1.5684115886688232,0.106903076171875,0.07314570887393188,55,240,0.22916666666666666,7.416198487095663,1
094,1.570574402809143,1.62941575050354,0.05884134769439697,0.03746485845506767,85,240,0.3541666666666667,10.831760866327848,1
095,1.517606258392334,1.6042160987854004,0.0866098403930664,0.057070033754879186,100,225,0.4444444444444444,10.0,1
096,1.5445935726165771,1.6040672063827515,0.059473633766174316,0.03850439029435077,55,187,0.29411764705882354,7.3484692283495345,1
097,1.5648670196533203,1.5857446193695068,0.020877599716186523,0.013341452950303557,25,108,0.23148148148148148,6.692130429902463,1
098,1.505460500717163,1.6840476989746094,0.1785871982574463,0.11862629286678189,110,211,0.5213270142180095,10.488088481701515,1
099,1.5664246082305908,1.6301286220550537,0.06370401382446289,0.040668419973574066,45,133,0.3383458646616541,6.6332495807108,1
100,1.5891121625900269,1.589800238609314,0.0006880760192871094,0.0004329939921708505,8,61,0.13114754098360656,2.23606797749979,1
101,1.6258031129837036,1.6892039775848389,0.06340086460113525,0.03899664362481188,24,75,0.32,4.47213595499958,1
102,1.4627304077148438,1.481865644454956,0.019135236740112305,0.013081861591984269,17,86,0.19767441860465115,4.123105625617661,1
103,1.5361597537994385,1.5494461059570312,0.013286352157592773,0.008649069294213161,27,87,0.3103448275862069,5.196152422706632,1
104,1.6281659603118896,1.688881278038025,0.060715317726135254,0.03729061975629603,58,169,0.3431952662721893,7.615773105863909,1
105,1.5255112648010254,1.5748248100280762,0.04931354522705078,0.032325913524789876,38,162,0.2345679012345679,7.449489742783178,1
106,1.4629063606262207,1.4839059114456177,0.020999550819396973,0.014354678730365063,57,167,0.3413173652694611,7.54983443527075,1
107,1.4360363483428955,1.5541040897369385,0.11806774139404297,0.08221779450797777,59,306,0.19281045751633988,7.3484692283495345,1
108,1.6056241989135742,1.6472728252410889,0.04164862632751465,0.025939211900079532,23,90,0.25555555555555554,4.69041575982343,1
109,1.5175336599349976,1.690057396888733,0.17252373695373535,0.11368692603571329,48,178,0.2696629213483146,6.708203932499369,1
110,1.399511694908142,1.7218036651611328,0.3222919702529907,0.2302888724871603,12,27,0.4444444444444444,3.4641016151377544,1
111,1.515686273574829,1.5878626108169556,0.07217633724212646,0.047619575700118086,5,14,0.35714285714285715,0.0,1
112,1.6765028238296509,1.7513364553451538,0.07483363151550293,0.04463674647714567,8,28,0.2857142857142857,2.23606797749979,1
113,1.5567585229873657,1.7078909873962402,0.1511324644088745,0.09708150761805791,15,86,0.1744186046511628,3.872983346207417,1
114,1.6002426147460938,1.600415825843811,0.00017321109771728516,0.00010824052310640915,70,133,0.5263157894736842,8.366600265340756,1
115,1.7401591539382935,1.771575689315796,0.03141653537750244,0.018053828758364525,5,19,0.2631578947368421,0.0,1
116,1.727341651916504,1.7501534223556519,0.02281177043914795,0.013206287484492745,14,49,0.2857142857142857,2.6457513110645907,1
117,1.6906644105911255,1.7053793668746948,0.014714956283569336,0.008703652949330367,6,16,0.375,2.23606797749979,0
118,1.352614164352417,1.5346004962921143,0.18198633193969727,0.13454415659385452,207,338,0.6124260355029586,14.38749456993816,1
119,1.3598620891571045,1.5031468868255615,0.14328479766845703,0.10536715363340303,192,349,0.5501432664756447,13.856406460551018,1
120,1.4034100770950317,1.5453991889953613,0.1419891119003296,0.10117435681681713,202,340,0.5941176470588235,14.177446878757825,1
121,1.6613487005233765,1.7160255908966064,0.05467689037322998,0.03291114644144547,11,37,0.2972972972972973,0.0,1
122,1.6378613710403442,1.725984811782837,0.08812344074249268,0.05380396796739765,10,36,0.2777777777777778,2.8284271247461903,1
123,1.5853086709976196,1.7503020763397217,0.16499340534210205,0.10407651731209751,20,88,0.22727272727272727,4.358898943540674,1
124,1.3474905490875244,1.536238670349121,0.18874812126159668,0.14007379969337122,176,306,0.5751633986928104,13.2664991614216,1
125,1.3782202005386353,1.631832242012024,0.25361204147338867,0.18401416651292163,217,282,0.7695035460992907,14.730919862656235,1
126,1.5923678874969482,1.5959742069244385,0.0036063194274902344,0.0022647526716700044,15,54,0.2777777777777778,5.449489742783178,1
127,1.3316712379455566,1.5927066802978516,0.2610354423522949,0.19602093588430192,191,281,0.6797153024911032,13.820274961085254,1
128,1.3488969802856445,1.6071736812591553,0.25827670097351074,0.19147251772986967,219,303,0.7227722772277227,14.798648586948742,1
129,1.6706541776657104,1.7041738033294678,0.033519625663757324,0.020063772689684935,11,26,0.4230769230769231,3.0,1
130,1.3672521114349365,1.629056692123413,0.26180458068847656,0.19148230125145801,224,290,0.7724137931034483,14.933184523068078,1
131,1.3462133407592773,1.6620075702667236,0.3157942295074463,0.23457963158301143,196,270,0.725925925925926,14.0,1
132,1.6634454727172852,1.7208298444747925,0.057384371757507324,0.0344972965442434,11,25,0.44,2.23606797749979,1
133,1.6647578477859497,1.6949100494384766,0.030152201652526855,0.01811206458202187,5,17,0.29411764705882354,0.0,1
134,1.3020960092544556,1.541168212890625,0.23907220363616943,0.18360566497170636,140,200,0.7,11.832159566199232,1
135,1.7596139907836914,1.7604349851608276,0.0008209943771362305,0.0004665764090512707,8,25,0.32,2.0,0
136,1.5657726526260376,1.590905785560608,0.025133132934570312,0.016051585070424014,192,263,0.7300380228136882,13.856406460551018,1
137,1.4101707935333252,1.5015941858291626,0.0914233922958374,0.06483143227407714,190,261,0.7279693486590039,13.784048752090222,1
138,1.379386305809021,1.5085604190826416,0.1291741132736206,0.09364607487375262,167,221,0.755656108597285,12.922847983320086,0
139,1.7074302434921265,1.717599868774414,0.010169625282287598,0.005956100005285219,9,32,0.28125,2.449489742783178,0
140,1.7210419178009033,1.741401195526123,0.020359277725219727,0.011829623389553586,25,116,0.21551724137931033,7.058282177129341,1
141,1.3579925298690796,1.5974230766296387,0.23943054676055908,0.17631212358998907,218,290,0.7517241379310344,14.7648230602334,1
142,1.7244853973388672,1.7528011798858643,0.02831578254699707,0.016419844778443736,21,85,0.24705882352941178,6.0,1
143,1.4574863910675049,1.539963960647583,0.08247756958007812,0.05658891231201767,32,136,0.23529411764705882,7.852693419991809,1
144,1.3798797130584717,1.483445405960083,0.10356569290161133,0.0750541456052429,58,187,0.31016042780748665,7.615773105863909,1
145,1.5367259979248047,1.5781543254852295,0.041428327560424805,0.026958825201349904,73,120,0.6083333333333333,8.48528137423857,1
146,1.7752635478973389,1.7829540967941284,0.007690548896789551,0.004332060389511409,2,2,1.0,0.0,0
147,1.3945038318634033,1.4361834526062012,0.04167962074279785,0.029888494954584333,64,326,0.19631901840490798,11.223534805903114,1
148,1.7773942947387695,1.7864350080490112,0.0090407133102417,0.005086498441568615,8,31,0.25806451612903225,2.0,0
149,1.493494987487793,1.5428667068481445,0.04937171936035156,0.03305784068508975,29,120,0.24166666666666667,7.135047463066146,1
150,1.4516088962554932,1.4543139934539795,0.002705097198486328,0.001863516547373248,58,242,0.2396694214876033,10.66533822525406,1
151,1.785236120223999,1.786834716796875,0.0015985965728759766,0.0008954538588852862,10,51,0.19607843137254902,2.449489742783178,1
152,1.3699471950531006,1.3937432765960693,0.02379608154296875,0.017370072093944023,89,324,0.27469135802469136,9.433981132056603,1
153,1.7052185535430908,1.734757900238037,0.02953934669494629,0.017322909508326455,25,104,0.2403846153846154,6.594966921040464,1
154,1.4629786014556885,1.4733284711837769,0.010349869728088379,0.007074518873885157,55,271,0.2029520295202952,7.416198487095663,1
155,1.6800613403320312,1.680342435836792,0.0002810955047607422,0.0001673126438973884,27,115,0.23478260869565218,7.337084961345171,1
156,1.4618349075317383,1.508357048034668,0.04652214050292969,0.031824483232159806,58,178,0.3258426966292135,7.54983443527075,1
157,1.523254156112671,1.583524227142334,0.060270071029663086,0.03956665457816422,71,210,0.3380952380952381,10.511747491081728,1
158,1.6268740892410278,1.6666277647018433,0.03975367546081543,0.024435619033899167,22,96,0.22916666666666666,6.322473088990595,1
159,1.6232205629348755,1.6610645055770874,0.037843942642211914,0.023314109928343874,50,138,0.36231884057971014,7.0710678118654755,1
160,1.5355029106140137,1.6253209114074707,0.08981800079345703,0.058494191168638555,66,229,0.28820960698689957,10.645592433716262,1
161,1.6651958227157593,1.6948113441467285,0.02961552143096924,0.01778500824165499,48,126,0.38095238095238093,6.782329983125268,1
162,1.556339979171753,1.617659330368042,0.06131935119628906,0.0393997147261627,62,193,0.32124352331606215,7.874007874011811,1
163,1.6361539363861084,1.6701840162277222,0.03403007984161377,0.02079882527238144,26,99,0.26262626262626265,4.898979485566356,1
164,1.5839649438858032,1.6534796953201294,0.06951475143432617,0.04388654667052901,27,79,0.34177215189873417,5.0990195135927845,1
165,1.6194767951965332,1.6467275619506836,0.02725076675415039,0.016826895473265085,41,99,0.41414141414141414,8.0,1
166,1.674508810043335,1.6895544528961182,0.015045642852783203,0.008985108207578696,17,49,0.3469387755102041,3.605551275463989,1
167,1.6469409465789795,1.6543240547180176,0.007383108139038086,0.004482922204572213,8,20,0.4,0.0,1
168,1.6366002559661865,1.6639593839645386,0.02735912799835205,0.016717049810187314,11,41,0.2682926829268293,2.449489742783178,1
169,1.6615084409713745,1.7618584632873535,0.100350022315979,0.060396938012130086,10,42,0.23809523809523808,2.0,1
170,1.5774197578430176,1.592869520187378,0.015449762344360352,0.009794325364281311,9,62,0.14516129032258066,2.6457513110645907,1
171,1.6828656196594238,1.7832043170928955,0.10033869743347168,0.05962371342150189,21,62,0.3387096774193548,4.242640687119285,1
172,1.641161322593689,1.642953872680664,0.0017925500869750977,0.0010922449013983306,8,28,0.2857142857142857,2.8284271247461903,1
173,1.7044553756713867,1.7144014835357666,0.009946107864379883,0.005835358324040664,6,14,0.42857142857142855,0.0,0
174,1.7105202674865723,1.761905312538147,0.05138504505157471,0.030040594097770948,12,57,0.21052631578947367,3.3166247903554,1
175,1.6472079753875732,1.6749224662780762,0.02771449089050293,0.01682513155874076,12,48,0.25,3.0,1
176,1.7346241474151611,1.7376269102096558,0.003002762794494629,0.0017310740191004352,9,35,0.2571428571428571,2.23606797749979,1
177,1.6648180484771729,1.7321056127548218,0.06728756427764893,0.040417368335955745,9,46,0.1956521739130435,2.8284271247461903,1
178,1.7448066473007202,1.748318076133728,0.0035114288330078125,0.0020125031266015185,17,84,0.20238095238095238,3.3166247903554,1
179,1.7325825691223145,1.7474596500396729,0.014877080917358398,0.008586650461856358,10,37,0.2702702702702703,2.6457513110645907,0
180,1.630172610282898,1.678709864616394,0.048537254333496094,0.02977430367025551,19,94,0.20212765957446807,4.242640687119285,1
181,1.627985954284668,1.6311399936676025,0.0031540393829345703,0.0019373873433204437,20,62,0.3225806451612903,4.242640687119285,1
182,1.7472290992736816,1.774147391319275,0.02691829204559326,0.015406275031009454,42,99,0.42424242424242425,6.244997998398398,1
183,1.79024338722229,1.7932931184768677,0.0030497312545776367,0.0017035288477225132,10,31,0.3225806451612903,2.23606797749979,0
184,1.7780940532684326,1.780753254890442,0.0026592016220092773,0.0014955348493074494,5,14,0.35714285714285715,2.23606797749979,0
185,1.7125152349472046,1.7229708433151245,0.010455608367919922,0.006105410424709161,10,84,0.11904761904761904,4.0,1
186,1.7123281955718994,1.7409069538116455,0.028578758239746094,0.016690000382900364,12,51,0.23529411764705882,3.0,1
187,1.7633856534957886,1.7721915245056152,0.00880587100982666,0.004993729529538611,7,31,0.22580645161290322,0.0,1
188,1.708982229232788,1.7373392581939697,0.02835702896118164,0.01659293378019029,34,90,0.37777777777777777,5.830951894845301,1
189,1.7162612676620483,1.716325283050537,6.401538848876953e-05,3.729932597964735e-05,12,54,0.2222222222222222,2.0,1
190,1.6369976997375488,1.6574628353118896,0.02046513557434082,0.012501627569557298,24,75,0.32,6.478708664619075,1
191,1.706850290298462,1.7427181005477905,0.03586781024932861,0.021014034126599777,16,70,0.22857142857142856,3.7416573867739413,1
192,1.6490548849105835,1.6837424039840698,0.03468751907348633,0.02103478749609185,70,171,0.4093567251461988,8.246211251235321,1
193,1.622580885887146,1.7074609994888306,0.08488011360168457,0.052311791874262326,39,183,0.21311475409836064,6.244997998398398,1
194,1.6939332485198975,1.7194827795028687,0.02554953098297119,0.015082962097411761,65,124,0.5241935483870968,10.578476147264043,1
195,1.6825569868087769,1.7104580402374268,0.027901053428649902,0.01658253102117418,27,120,0.225,6.928203230275509,1
196,1.6084582805633545,1.6959021091461182,0.08744382858276367,0.05436499636915476,78,164,0.47560975609756095,8.831760866327848,1
197,1.6786088943481445,1.7366160154342651,0.058007121086120605,0.03455666253254696,66,123,0.5365853658536586,8.06225774829855,1
198,1.7519347667694092,1.7566077709197998,0.004673004150390625,0.002667339126449158,7,28,0.25,0.0,0
199,1.7261911630630493,1.7470709085464478,0.020879745483398438,0.012095847742812135,38,106,0.3584905660377358,8.213515673894612,1
200,1.7209150791168213,1.7351560592651367,0.01424098014831543,0.008275237006827753,4,10,0.4,0.0,0
201,1.7021255493164062,1.7109463214874268,0.008820772171020508,0.0051822100752573945,45,114,0.39473684210526316,6.48074069840786,1
202,1.7971493005752563,1.8011671304702759,0.004017829895019531,0.0022356683964618014,0,4,0.0,0.0,0
203,1.6298282146453857,1.6428056955337524,0.0129774808883667,0.007962483881278438,4,13,0.3076923076923077,0.0,1
204,1.7687078714370728,1.7808161973953247,0.012108325958251953,0.006845859711368816,4,8,0.5,0.0,0
205,1.6094211339950562,1.6160173416137695,0.006596207618713379,0.004098496956069946,7,47,0.14893617021276595,2.0,1
206,1.6619415283203125,1.6924247741699219,0.030483245849609375,0.018341948456163867,44,108,0.4074074074074074,6.557438524302,1
207,1.5817065238952637,1.596134066581726,0.014427542686462402,0.009121504190886018,39,173,0.2254335260115607,6.244997998398398,1
208,1.6384307146072388,1.6983277797698975,0.05989706516265869,0.03655758197685954,54,126,0.42857142857142855,9.930106595800748,1
209,1.5587923526763916,1.5709370374679565,0.012144684791564941,0.007791085689324139,71,198,0.35858585858585856,8.426149773176359,1
210,1.5668482780456543,1.5770223140716553,0.010174036026000977,0.006493312829683263,74,208,0.3557692307692308,8.54400374531753,1
211,1.6071500778198242,1.6849617958068848,0.07781171798706055,0.04841596255442171,56,148,0.3783783783783784,7.483314773547883,1
212,1.576367735862732,1.6360493898391724,0.05968165397644043,0.03786023566625284,56,167,0.33532934131736525,7.483314773547883,1
213,1.604036569595337,1.6334593296051025,0.029422760009765625,0.01834294838875671,60,164,0.36585365853658536,7.745966692414834,1
214,1.5913052558898926,1.6076359748840332,0.016330718994140625,0.010262467828655622,28,139,0.2014388489208633,5.291502622129181,1
215,1.6847522258758545,1.6949758529663086,0.010223627090454102,0.006068326804043325,14,44,0.3181818181818182,2.8284271247461903,0
216,1.6602025032043457,1.7341034412384033,0.07390093803405762,0.044513207209013306,44,136,0.3235294117647059,6.6332495807108,1
217,1.5940595865249634,1.6613298654556274,0.06727027893066406,0.0422006049832257,15,65,0.23076923076923078,3.3166247903554,1
218,1.6098299026489258,1.625052809715271,0.015222907066345215,0.009456220835068592,79,149,0.5302013422818792,8.831760866327848,1
219,1.670036792755127,1.6896036863327026,0.019566893577575684,0.01171644460916061,117,173,0.6763005780346821,10.816653826391969,1
220,1.6471498012542725,1.6727018356323242,0.025552034378051758,0.015512878281376947,28,100,0.28,5.0990195135927845,1
221,1.6382935047149658,1.6825015544891357,0.04420804977416992,0.026984206216371067,23,121,0.19008264462809918,4.69041575982343,1
222,1.619370937347412,1.7047420740127563,0.08537113666534424,0.05271870372404314,54,157,0.34394904458598724,7.3484692283495345,1
223,1.590669870376587,1.6313400268554688,0.040670156478881836,0.025567942937935503,55,129,0.4263565891472868,7.416198487095663,1
224,1.6742582321166992,1.7107762098312378,0.036517977714538574,0.02181143685844108,34,102,0.3333333333333333,5.5677643628300215,1
225,1.6185545921325684,1.6413464546203613,0.02279186248779297,0.014081614916530533,110,207,0.5314009661835749,10.488088481701515,1
226,1.6770905256271362,1.6897592544555664,0.012668728828430176,0.007553992247194166,17,80,0.2125,3.872983346207417,1
227,1.6947131156921387,1.6950856447219849,0.0003725290298461914,0.00021981834352774606,33,100,0.33,5.5677643628300215,1
228,1.5951708555221558,1.614874005317688,0.019703149795532227,0.012351748859580744,101,201,0.5024875621890548,10.04987562112089,1
229,1.5442023277282715,1.6263847351074219,0.08218240737915039,0.053219973771216705,60,229,0.26200873362445415,7.745966692414834,1
230,1.4703900814056396,1.501599907875061,0.031209826469421387,0.021225542027314224,94,273,0.3443223443223443,9.695359714832659,1
231,1.694108486175537,1.716639757156372,0.02253127098083496,0.013299780483184686,13,47,0.2765957446808511,3.4641016151377544,1
232,1.6732524633407593,1.6964163780212402,0.023163914680480957,0.013843645945832149,0,5,0.0,0.0,0
233,1.4761977195739746,1.5481137037277222,0.07191598415374756,0.04871704054284968,32,230,0.1391304347826087,7.0990195135927845,1
234,1.4356420040130615,1.5465867519378662,0.11094474792480469,0.07727883944234004,31,248,0.125,9.157693675282548,1
235,1.4344079494476318,1.570655107498169,0.1362471580505371,0.09498494351136562,142,387,0.3669250645994832,11.916375287812984,1
236,1.6574395895004272,1.6651052236557007,0.0076656341552734375,0.004624985552314431,17,96,0.17708333333333334,3.872983346207417,1
237,1.676156759262085,1.6769353151321411,0.0007785558700561523,0.00046448869758393337,5,17,0.29411764705882354,0.0,1
238,1.613710641860962,1.6241908073425293,0.010480165481567383,0.006494451489445131,105,333,0.3153153153153153,10.246950765959598,1
